Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening,State,FIPS,Latitude,Longitude,WNV_Corvid_Count,WNV_NonCorvid_Count,Total_Bird_WNV_Count,Mos_WNV_Count,Horse_WNV_Count,Population,PD
2004,lewis,Non-human activity,,,,new york,36049.0,43.78,-75.48,2.0,0.0,2.0,0.0,0.0,26661,0.246513621
2003,henderson,Non-human activity,,,,illinois,17071.0,40.93,-90.94,3.0,0.0,3.0,0.0,0.0,7935,-0.384381238
2009,wetzel,Non-human activity,,,,west virginia,54103.0,39.66,-80.85,0.0,1.0,1.0,0.0,0.0,16588,-0.001966869
2014,otsego,Non-human activity,,,,michigan,26137.0,45.02,-84.67,1.0,0.0,1.0,0.0,0.0,"24,110",0.037306744
2000,fairfield,Human infections and non-human activity,1.0,0.0,0.0,connecticut,9001.0,41.18,-73.19,524.0,5.0,529.0,0.0,2.0,,
2004,blount,Non-human activity,,,,alabama,1009.0,33.95,-86.47,1.0,1.0,2.0,0.0,0.0,54124,0.188612795
2007,randall,Human infections,6.0,3.0,0.0,texas,48381.0,34.98,-101.92,,,,,,114782,1.392998806
2021,douglas,Human infections,1.0,1.0,0.0,south dakota,46043.0,43.31,-98.34,,,,,,"2,821",-0.115850604
2003,cochran,Human infections and non-human activity,2.0,1.0,0.0,texas,48079.0,33.72,-102.75,0.0,0.0,0.0,6.0,1.0,3490,-0.433238499
2023,knox,Non-human activity,0.0,0.0,0.0,tennessee,47093.0,35.96,-83.92,,,,,,,
2004,alamosa,Non-human activity,,,,colorado,8003.0,37.46,-105.87,0.0,0.0,0.0,0.0,0.0,15217,0.4811013
2003,brewster,Non-human activity,,,,texas,48043.0,30.36,-103.66,0.0,0.0,0.0,0.0,1.0,9030,3.041748223
2012,howard,Non-human activity,,,,indiana,18067.0,40.53,-86.17,0.0,0.0,0.0,0.0,0.0,"82,839",-0.266986615
2022,kent,Non-human activity,,,,delaware,10001.0,39.15,-75.51,,,,,,,
2021,jefferson,Human infections,1.0,1.0,0.0,ohio,39081.0,40.36,-80.64,,,,,,"64,789",0.205757452
2018,washoe,Human infections and non-human activity,2.0,0.0,0.0,nevada,32031.0,39.52,-119.81,1.0,0.0,1.0,11.0,0.0,"464,354",1.850546599
