Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening,State,FIPS,Latitude,Longitude,WNV_Corvid_Count,WNV_NonCorvid_Count,Total_Bird_WNV_Count,Mos_WNV_Count,Horse_WNV_Count,Date,avg_u10,avg_v10,avg_t2m,avg_lai_hv,avg_lai_lv,avg_src,avg_sf,avg_ssr,avg_sro,avg_e,avg_tp,avg_swvl1,max_u10,min_u10,max_v10,min_v10,max_t2m,min_t2m,max_lai_hv,min_lai_hv,max_lai_lv,min_lai_lv,max_src,min_src,max_sf,min_sf,max_ssr,min_ssr,max_sro,min_sro,max_e,min_e,max_tp,min_tp,max_swvl1,min_swvl1,Evergreen/Deciduous Needleleaf Trees,Evergreen Broadleaf Trees,Deciduous Broadleaf Trees,Mixed Trees,Shrub,Herbaceous,Culture/Managed,Wetland,Urban/Built,Snow/Ice,Barren,Water,Population,PD
2004,lewis,Non-human activity,,,,new york,36049.0,43.78,-75.48,2.0,0.0,2.0,0.0,0.0,2004-01-01,0.663450975357835,0.5698789432237713,279.12875995740217,2.6098932298154764,2.384185791015625e-07,0.0001672243976673,0.0004445400745531,4284853.970969947,2.4884792879386693e-05,-0.0008289633651806,0.0024717959423951,0.2546658530587056,2.0323384,-0.2179923,1.1289864,-0.3165353,295.25745,257.62888,4.736306,1.2083834,2.3841858e-07,2.3841858e-07,0.0003643901,2.8732087e-05,0.0022927849,-9.313226e-10,18893916.0,1.0,8.492358e-05,-9.313226e-10,-1.5227124e-05,-0.004385021,0.0069234753,0.00050256215,0.2855838,0.21206382,0,0,7,2,0,14,76,0,0,0,0,0,26661,0.246513621
2003,henderson,Non-human activity,,,,illinois,17071.0,40.93,-90.94,3.0,0.0,3.0,0.0,0.0,2003-01-01,0.4177866352339313,0.1549431967408689,283.7949875714027,2.051384543066155,1.9190106022847848,4.854388548976625e-05,0.0001659313344383,4725289.304109587,0.000130979591113,-0.0009211372847235,0.0016686159281749,0.3219510695807735,2.0727248,-0.778517,1.1524968,-0.99611115,301.65878,265.46255,2.5552812,1.8511896,3.1259694,1.4386116,9.072147e-05,1.5169207e-06,0.0008516703,-9.313226e-10,19449406.0,1.0,0.0005502263,-9.313226e-10,-3.832043e-05,-0.0047830325,0.0043606553,0.00014854036,0.3725617,0.2021743,0,0,0,1,0,16,83,0,0,0,0,0,7935,-0.384381238
2009,wetzel,Non-human activity,,,,west virginia,54103.0,39.66,-80.85,0.0,1.0,1.0,0.0,0.0,2009-01-01,0.469304997137148,0.3813680159719023,283.8520655801851,3.042985701560972,1.2440531472637222,0.0001149372673016,0.0001306715976344,4718102.794178081,0.0001802927619866,-0.0010526808526539,0.0019534041671312,0.3676254976285646,1.7938774,-0.75562274,0.84290123,-0.07549131,298.59586,266.88596,4.9739833,1.4083675,1.2702925,1.2208419,0.00030243892,1.7285143e-05,0.0010395292,-9.313226e-10,17036960.0,1.0,0.0008156779,6.101094e-06,-4.311558e-05,-0.0047320505,0.0053118104,0.00039165094,0.4035443,0.29632294,0,0,100,0,0,0,0,0,0,0,0,0,16588,-0.001966869
2014,otsego,Non-human activity,,,,michigan,26137.0,45.02,-84.67,1.0,0.0,1.0,0.0,0.0,2014-01-01,0.9621761327736996,0.3263613586964671,277.61153792289826,1.89845006531232,2.9645410701020105,0.0001327976266485,0.0004249981540727,4077851.590410958,1.7581924107180873e-05,-0.0006768977428205,0.001718324447714,0.2409621708911575,2.3075848,-0.30699718,0.9975753,-0.7439306,295.33246,259.11163,3.7073557,0.78860116,3.07627,2.8961325,0.00021236755,4.1899882e-05,0.0021191528,-9.313226e-10,18411520.0,1.0,0.00016349088,-9.313226e-10,-1.9770116e-05,-0.003883406,0.0048864884,8.46684e-05,0.31400624,0.1840945,0,24,0,2,0,5,5,0,65,0,0,0,"24,110",0.037306744
2000,fairfield,Human infections and non-human activity,1.0,0.0,0.0,connecticut,9001.0,41.18,-73.19,524.0,5.0,529.0,0.0,2.0,2000-01-01,1.1205867427538656,-0.4178986922720744,283.30118206420235,3.087225678514265,0.1722513668524113,9.036223566963702e-05,0.0001704734069412,5159798.839480876,1.4809581140677144e-05,-0.0011806767900656,0.0019102059692765,0.2224668737989469,2.6170435,0.05339533,1.1237893,-1.680884,297.3382,268.79202,4.986333,1.6465054,0.1800754,0.16626656,0.00021508269,1.2696168e-05,0.0013091927,-9.313226e-10,17709392.0,1.0,4.1189604e-05,5.075708e-07,-0.00012362655,-0.0047102193,0.0043151025,0.00017874315,0.2848928,0.14943023,0,0,0,0,0,0,0,0,86,0,0,14,,
2004,blount,Non-human activity,,,,alabama,1009.0,33.95,-86.47,1.0,1.0,2.0,0.0,0.0,2004-01-01,0.0615611167553344,0.1267537281650012,289.37323175232274,2.88073703337237,2.485377996997105,9.317628005664236e-05,1.461099441382075e-05,5046695.398565575,0.0001595930782874,-0.0011142812738617,0.0023519752325764,0.4329568220536566,1.0432527,-1.542261,1.2354021,-1.0074952,302.60733,276.07022,3.8787708,1.7419816,2.5239148,2.4398174,0.0002620177,3.1179545e-05,0.0002544662,-9.313226e-10,17679244.0,1.0,0.00077372417,3.0500814e-06,-5.396828e-05,-0.004452534,0.0074161347,0.00025053695,0.46357238,0.40488103,0,0,0,0,0,15,0,0,85,0,0,0,54124,0.188612795
2007,randall,Human infections,6.0,3.0,0.0,texas,48381.0,34.98,-101.92,,,,,,2007-01-01,0.4434933171288608,1.8780750302827511,288.01624737047155,0.0,0.9886599713808863,1.7222337550738793e-05,0.0001059183799853,5395319.576027396,4.797529569533592e-05,-0.0005997399215854,0.0008923586068853,0.2217005242427733,2.5576215,-1.839887,4.8790274,-0.32148486,304.19983,270.39682,0.0,0.0,1.149185,0.75780904,6.455157e-05,6.373739e-08,0.00066769123,-9.313226e-10,20509676.0,1.0,0.0005097985,-9.313226e-10,-1.421757e-05,-0.0029239643,0.0039536543,5.4463744e-06,0.33250517,0.13755828,0,0,0,3,5,28,20,0,43,0,0,0,114782,1.392998806
2021,douglas,Human infections,1.0,1.0,0.0,south dakota,46043.0,43.31,-98.34,,,,,,2021-01-01,0.1648115630835702,0.4248745724354703,284.1937643390812,0.0,1.1916792898961934,2.6064981787771697e-05,0.0001441589556634,4668409.431164381,1.9418896010069e-05,-0.0007058968521137,0.0011307834035219,0.2803366431124405,2.2288694,-1.3938338,1.9652162,-1.8254114,303.062,260.32336,0.0,0.0,1.9637222,0.67041504,7.858619e-05,9.815267e-07,0.0010466427,-9.313226e-10,21529290.0,1.0,0.000107552856,2.5331974e-07,-1.1946075e-05,-0.0036817503,0.0035134787,1.0397285e-05,0.35929635,0.19673677,0,0,0,0,0,15,85,0,0,0,0,0,"2,821",-0.115850604
2003,cochran,Human infections and non-human activity,2.0,1.0,0.0,texas,48079.0,33.72,-102.75,0.0,0.0,0.0,6.0,1.0,2003-01-01,0.6634862573179477,1.6350872702794528,289.80128359859924,3.033940563463182,0.9286166618948112,1.2039272884091943e-05,2.768585994227288e-06,5608703.155821914,1.260026307036614e-05,-0.0003574877280474,0.0004432440486621,0.1624520165871267,2.8071437,-1.972108,4.2551346,-0.34771758,305.3354,273.98947,3.0385609,3.030543,1.2385073,0.7222916,5.794855e-05,6.373739e-08,2.9423274e-05,-9.313226e-10,21468990.0,1.0,0.00012840237,-9.313226e-10,-1.1188909e-05,-0.0027474212,0.0028569298,1.4845282e-06,0.22160216,0.12950394,0,0,0,0,13,24,63,0,0,0,0,0,3490,-0.433238499
2023,knox,Non-human activity,0.0,0.0,0.0,tennessee,47093.0,35.96,-83.92,,,,,,2023-01-01,0.4738986512679539,0.1583108422374295,288.9405609861819,4.20096351714905,2.6147565820259966,0.0001122287573713,5.320646565875968e-06,5509366.097305388,0.0001359109388257,-0.0012106178397233,0.0019420583545603,0.4025624974625195,1.3092383,-0.17529058,0.8958616,-0.38855153,302.06866,277.19238,4.862748,3.4329996,3.034781,2.1327877,0.00027841056,2.7839793e-05,7.501338e-05,-9.313226e-10,18506536.0,1.0,0.0012730989,5.075708e-07,-5.5861194e-05,-0.0045787264,0.007294826,6.8822876e-05,0.47315603,0.30690345,8,0,0,0,6,0,0,0,83,0,0,3,,
2004,alamosa,Non-human activity,,,,colorado,8003.0,37.46,-105.87,0.0,0.0,0.0,0.0,0.0,2004-01-01,0.5506479750728347,0.6455835204143996,278.7990742876231,3.983508698275832,1.3477702964850469,3.692385849677781e-05,0.0002584240298789,5626056.769467215,1.0661086159162837e-06,-0.0003444113170815,0.0005600466252981,0.1337474610636143,3.1145449,-0.6504117,1.7607989,-0.0962795,297.09183,258.9347,4.205565,3.8700156,1.5615231,1.2378852,0.00012215597,8.2855695e-07,0.0013473462,-9.313226e-10,24141364.0,1.0,1.1441298e-05,-9.313226e-10,-6.141374e-06,-0.001791639,0.0031198468,1.7823651e-05,0.2052669,0.065737516,0,0,0,12,9,0,0,0,79,0,0,0,15217,0.4811013
2003,brewster,Non-human activity,,,,texas,48043.0,30.36,-103.66,0.0,0.0,0.0,0.0,1.0,2003-01-01,0.3582975553731395,0.7397080148327838,289.8156994127246,0.0,0.8801124595615957,1.5343596946690476e-05,1.564360006827196e-05,6157640.128424656,1.6446052476355463e-05,-0.0004157514281073,0.0005483839546062,0.1773370234321241,3.0831614,-3.6431355,2.1550322,-0.2083872,302.0149,275.48566,0.0,0.0,1.0983658,0.7265836,5.3461554e-05,8.9232344e-08,0.00013871118,-9.313226e-10,22620624.0,1.0,0.0003300337,-9.313226e-10,-7.1509276e-06,-0.0032990084,0.004337879,0.0,0.26157936,0.13710515,0,0,0,4,9,11,12,0,64,0,0,0,9030,3.041748223
2012,howard,Non-human activity,,,,indiana,18067.0,40.53,-86.17,0.0,0.0,0.0,0.0,0.0,2012-01-01,0.8002044935939745,0.7000382480318431,285.9107252652529,0.9482657850765792,1.2916760118932673,3.539617780101095e-05,0.0001205296034268,5024437.722677596,4.395962275483245e-05,-0.0008472239596564,0.0014009044958594,0.3129395569771366,3.0628395,-0.8091285,2.20626,-0.716213,304.92438,271.41595,0.96683574,0.9416764,2.7485268,0.708856,0.00010529146,2.0395964e-07,0.00091148727,-9.313226e-10,21379454.0,1.0,0.00021256413,-9.313226e-10,-3.743684e-06,-0.0038410053,0.004089321,1.7328188e-05,0.38814926,0.15674824,0,0,0,0,0,0,100,0,0,0,0,0,"82,839",-0.266986615
2022,kent,Non-human activity,,,,delaware,10001.0,39.15,-75.51,,,,,,2022-01-01,0.8307130327779954,0.1149267835159823,287.05795639247106,1.565568653198138,2.950130969530915,4.947536428816205e-05,0.0001061497332706,5447135.405479449,0.0001900713405992,-0.0010563434590426,0.0022286752596089,0.363558014533291,2.0163896,-1.0784582,1.7095709,-1.2661102,302.408,271.65448,2.5835738,0.9104347,3.0109577,2.9111233,0.00013899495,1.6214384e-05,0.0017731814,-9.313226e-10,19753644.0,1.0,0.0005624308,2.5415793e-06,-6.999471e-05,-0.0043354277,0.0066204527,0.00023023784,0.38906687,0.3252438,5,0,0,8,0,0,43,0,44,0,0,0,,
2021,jefferson,Human infections,1.0,1.0,0.0,ohio,39081.0,40.36,-80.64,,,,,,2021-01-01,0.7602801709142447,0.4021953609708236,284.79839377207287,2.689118974829373,0.5688426733016966,0.0001076940576265,0.0001444019645146,4869212.991438354,0.0001849073824179,-0.0010933686287799,0.0019369669800802,0.3722462366296818,2.2502203,0.11024523,1.2581701,-0.3004492,300.44144,267.69003,4.3628798,1.2350173,0.5697098,0.5682169,0.00024992065,1.7731276e-05,0.0014608381,-9.313226e-10,18038300.0,1.0,0.0006455751,5.08409e-06,-6.343261e-05,-0.004742146,0.0054053906,0.00020102412,0.40102944,0.31408554,1,0,40,18,0,10,28,0,3,0,0,0,"64,789",0.205757452
2018,washoe,Human infections and non-human activity,2.0,0.0,0.0,nevada,32031.0,39.52,-119.81,1.0,0.0,1.0,11.0,0.0,2018-01-01,0.7525761926419111,0.4232156082783658,284.5792533769998,3.0391289149245164,0.4991380747050453,1.8484714901081145e-05,0.0003065512228553,5702485.245205478,3.609494880250056e-05,-0.000385080696058,0.0007157641029215,0.2278452221763459,2.7050195,-0.42558455,1.122057,-0.68230844,305.1506,269.84024,3.0544121,3.0250134,0.51279473,0.48635888,0.00010377457,0.0,0.002757744,-9.313226e-10,26315808.0,30150.0,0.00046657305,-9.313226e-10,1.1020806e-05,-0.0027724071,0.0043661017,0.0,0.47090173,0.053638995,0,0,0,0,11,0,0,0,89,0,0,0,"464,354",1.850546599
2021,thayer,Human infections,0.0,0.0,1.0,nebraska,31169.0,40.16,-97.58,,,,,,2021-01-01,0.0439019680023193,0.6166107078937634,286.33836425363194,0.0,1.1660126130874844,2.7497263173955445e-05,0.000104916903943,4813928.447945203,5.229764860378552e-05,-0.0007518403435425,0.0011662791687229,0.2684067323905963,1.7043581,-1.3925475,2.747743,-1.5771906,303.8728,261.22934,0.0,0.0,2.082777,0.6893245,9.977195e-05,6.373739e-08,0.0014071641,-9.313226e-10,20876042.0,1.0,0.0003269827,-9.313226e-10,7.4876007e-06,-0.005041222,0.004530982,2.4756417e-05,0.3548897,0.15740527,0,0,0,0,0,10,90,0,0,0,0,0,"4,913",-0.520087334
2015,st. louis city,Human infections,8.0,5.0,0.0,missouri,29510.0,38.63572424,-90.24523805,,,,,,2015-01-01,0.2921024415590991,0.4199880511385119,286.9830346721492,2.132431576676565,1.6583082744520008,6.267222588202492e-05,8.653312321905394e-05,4740197.726712326,0.0002887985168331,-0.0010117382188295,0.0025224433127433,0.3328157135374741,1.3812654,-0.6913129,1.875629,-0.71101594,301.3575,266.54437,2.4845955,1.8910942,2.079356,1.3646532,0.00014281907,7.1511604e-06,0.0011235969,-9.313226e-10,17788878.0,1.0,0.0013707359,7.6182187e-07,-3.617513e-05,-0.0044490006,0.008009307,0.00012130663,0.38464886,0.19520746,0,0,0,0,0,0,3,0,97,0,0,0,"316,010",1.305441112
2015,milwaukee,Human infections and non-human activity,3.0,2.0,1.0,wisconsin,55079.0,43.05,-87.89,2.0,0.0,2.0,0.0,0.0,2015-01-01,0.8134464551732961,0.4533747608939261,281.26141811005056,0.6120204102503106,0.5262043482636753,2.206593892642308e-05,0.0001994905023746,4755230.170547942,4.5085122987423854e-05,-0.001101032395812,0.0018735483460995,0.23149327559218,2.471189,-1.3238646,2.827926,-2.616105,294.94946,260.8676,0.7420609,0.5066879,0.6097679,0.4582435,7.056823e-05,4.3212785e-06,0.0012830021,-9.313226e-10,21527462.0,1.0,0.00014391262,-9.313226e-10,-4.2106258e-05,-0.0034826186,0.0048300438,0.0002044905,0.24195892,0.21592674,0,0,0,0,0,0,0,0,5,0,12,83,"958,421",1.266024739
2018,pike,Non-human activity,,,,pennsylvania,42103.0,41.32,-74.8,1.0,0.0,1.0,0.0,0.0,2018-01-01,0.7317836733305288,-0.1170941013995914,282.8987787325087,2.836805456958404,2.384185791015625e-07,0.0001412652970641,0.0003048904520803,4515615.665753423,0.0001652493753968,-0.000934537263804,0.0023797790105263,0.3673566463671316,1.753748,-0.3867414,0.62190306,-1.5977314,300.50864,266.662,5.055912,1.3217385,2.3841858e-07,2.3841858e-07,0.0002815973,2.694747e-05,0.002631966,-9.313226e-10,18627594.0,1.0,0.0007391446,4.3213367e-06,-4.626345e-07,-0.004637406,0.006314954,0.0002847016,0.40476775,0.29020572,13,0,14,0,0,0,17,0,40,0,0,16,"55,780",0.685533055
2021,caddo,Human infections and non-human activity,3.0,2.0,0.0,louisiana,22017.0,32.58019418,-93.88239685,0.0,0.0,0.0,28.0,0.0,2021-01-01,-0.2695009519792581,0.6543738812208174,292.2799446210468,4.136731671633783,2.833369338675722,9.381398965272897e-05,6.190718419543675e-05,4959364.39657534,0.0001991499317427,-0.0011348213762051,0.0022021200909751,0.3038926832684097,0.75848866,-1.2181393,1.7922287,-0.45512325,305.79678,276.08255,4.6511517,3.5037775,3.0930023,2.5071824,0.0002345476,2.4410809e-05,0.0008739801,-9.313226e-10,19114102.0,1.0,0.0011520693,-9.313226e-10,-5.3842086e-05,-0.0047288956,0.0084004635,2.6240945e-05,0.38439965,0.18074135,36,0,13,35,0,0,16,0,0,0,0,0,"233,092",0.805704185
2003,burke,Human infections and non-human activity,5.0,2.0,0.0,north dakota,38013.0,48.8,-102.24,1.0,2.0,3.0,0.0,1.0,2003-01-01,1.080055055634616,-0.0099362803648595,277.436537860191,3.39991474151611,1.1303014497234396,6.873641391954549e-05,0.0002679219258923,3783110.842808217,1.2173715417515736e-05,-0.0005782380105276,0.000743418837553,0.2670954244389924,3.2241287,-2.0783482,1.1223044,-1.6110952,299.83893,256.79456,3.3999147,3.3999147,2.5973134,0.6722189,0.00015329724,5.9019367e-06,0.0014320603,-9.313226e-10,20051032.0,1.0,0.0001843404,-9.313226e-10,3.789994e-05,-0.003944483,0.003049042,9.7045675e-05,0.3642581,0.1812398,0,0,0,13,0,13,73,0,0,0,0,0,2108,-0.556171588
2022,houston,Human infections,2.0,2.0,0.0,georgia,13153.0,32.46,-83.73,,,,,,2022-01-01,0.1845539776837988,0.0235860462466331,292.027194297477,4.760901019997792,2.285507428482788,7.723586436254224e-05,-9.313225746154783e-10,5651473.395890409,6.113282041241456e-05,-0.0011133059879209,0.0013693592625938,0.3773946459979226,1.05097,-0.8330518,1.1688304,-1.2440846,306.88535,277.4197,4.94652,4.544432,2.9339514,1.5421159,0.00026303748,8.52783e-06,-9.313226e-10,-9.313226e-10,20041440.0,1.0,0.0005593798,2.5331974e-07,-3.3651246e-05,-0.004431965,0.0045413794,2.82228e-05,0.46403685,0.25924575,1,0,0,7,0,14,31,0,47,0,0,0,,
2009,greene,Non-human activity,,,,ohio,39057.0,39.68,-83.94,0.0,0.0,0.0,2.0,0.0,2009-01-01,0.5695811754628403,0.3717082226929599,284.1378174664222,1.7844160249788463,2.2830210450577404,6.612017635122092e-05,0.0001219471942072,4655037.852397258,0.000101966193354,-0.0008969823065953,0.0016274077613672,0.341082753016524,2.0053282,-1.0529915,1.4133391,-0.5677259,299.0651,266.08524,2.2955782,1.4972085,2.7884605,2.0058331,0.00015231571,9.624113e-06,0.0014479039,-9.313226e-10,17606152.0,1.0,0.00042970479,5.075708e-07,-4.3367967e-05,-0.004104369,0.004317579,8.4172934e-05,0.39292976,0.23746163,0,23,0,0,0,5,10,0,63,0,0,0,161075,1.296632819
2011,hughes,Non-human activity,,,,south dakota,46065.0,44.37,-100.32,0.0,0.0,0.0,1.0,0.0,2011-01-01,0.1012279570510943,0.0663018431157282,281.45098126555126,3.609851837158201,0.9974785327911376,4.460991311209173e-05,0.0002230706235572,4278369.141438354,9.08523058033968e-05,-0.0007936533766141,0.0012440631797613,0.3744943405667394,2.5141478,-2.0904384,1.7560968,-2.2802768,303.14377,260.58652,3.6098518,3.6098518,1.4749999,0.6705394,0.00013083676,4.4616172e-07,0.001532942,-9.313226e-10,20120468.0,1.0,0.0016171178,-9.313226e-10,1.9097235e-05,-0.0047598127,0.007938502,3.317371e-05,0.45924503,0.28593498,0,20,0,7,0,33,10,0,30,0,0,0,"17,310",0.366832072
2009,cobb,Non-human activity,,,,georgia,13067.0,33.9,-84.59,1.0,0.0,1.0,0.0,0.0,2009-01-01,0.2355751290305019,0.1053386898889933,288.770711193346,4.283727676574498,2.301535442430678,0.0001179208194303,2.8923651433154303e-06,5057766.049999998,0.0002051138099002,-0.0011515652218654,0.002641856715032,0.4292276760486704,1.7756134,-1.247979,0.9510493,-0.9646814,303.3543,276.13968,4.785519,3.748643,2.841457,1.7295933,0.00029447195,2.7125934e-05,6.240327e-05,-9.313226e-10,20396842.0,1.0,0.00093848724,3.8128346e-06,-6.4694555e-05,-0.0048235403,0.0070229974,0.00020399503,0.4623263,0.36653507,10,0,17,33,0,6,34,0,0,0,0,0,684776,0.977386966
2022,orleans,Non-human activity,,,,vermont,50019.0,44.93,-72.2,,,,,,2022-01-01,0.7371640330308099,0.528740758928534,279.60215132203814,2.455731230239346,2.384185791015625e-07,0.0001479181052585,0.0004978989455083,4612158.761301368,2.594916086184651e-05,-0.0008843598541267,0.0024656520212349,0.2522770530556978,2.2067466,-0.140306,1.1005263,-0.19081622,297.45242,257.0566,4.4883075,1.1478353,2.3841858e-07,2.3841858e-07,0.00024535717,4.1899882e-05,0.0024285866,-9.313226e-10,19360326.0,1.0,8.8228844e-05,1.0160729e-06,-2.4439301e-05,-0.0046067415,0.0060985796,0.00031193532,0.2908061,0.20698878,3,0,23,0,0,0,74,0,0,0,0,0,,
2002,de witt,Human infections and non-human activity,1.0,1.0,0.0,illinois,17039.0,40.17462934,-88.9040887,3.0,0.0,3.0,0.0,18.0,2002-01-01,0.6643587436986294,0.6238165551260725,284.8064057023557,2.344527401336252,1.488247581704022,4.44695202606628e-05,0.0001060487951266,4777518.3181506805,0.0001029118691405,-0.0010048756670136,0.0016098687508181,0.324073278567154,2.920586,-0.8790977,1.7328339,-0.5288718,302.0552,271.043,2.501737,2.2834134,3.0109577,0.9268745,0.00010758595,1.4276797e-05,0.0011365302,-9.313226e-10,19639898.0,1.0,0.00062701385,-9.313226e-10,-2.8729672e-05,-0.004795525,0.0055242227,2.079457e-05,0.3881266,0.20673956,0,0,0,4,0,15,81,0,0,0,0,0,,
2023,fremont,Human infections and non-human activity,2.0,1.0,0.0,wyoming,56013.0,42.83,-108.72,,,,,,2023-01-01,0.9597423202887976,0.8354326539232343,279.2456755038506,4.53087089447204,0.8491339005396038,0.0001548976449163,0.0004810898900757,4558366.022455089,7.925725620083822e-05,-0.000659256170066,0.0014443713767331,0.3050646838804561,1.900889,-0.8863003,1.984767,-0.6216762,298.8803,261.86432,4.5952115,4.4634247,1.0132111,0.6834774,0.00032240097,1.0159478e-05,0.0025563044,-9.313226e-10,21590504.0,1.0,0.00056827907,-9.313226e-10,5.266443e-05,-0.0040849354,0.008026636,0.0002396442,0.39254463,0.21447672,33,0,0,7,0,36,8,0,16,0,0,0,,
2004,harlan,Non-human activity,,,,nebraska,31083.0,40.1,-99.36,1.0,0.0,1.0,0.0,0.0,2004-01-01,-0.225725284731779,0.6006881497759637,285.2221056828734,2.255533606628252,1.3312775512210673,2.567170041834661e-05,0.0001050306641868,4895817.789617489,4.191750143985444e-05,-0.0008846445423722,0.0011701936861551,0.2648653741620603,1.5091133,-1.6503016,4.193512,-0.8023355,301.34744,266.47495,2.2736444,2.2447066,1.8752707,1.0023257,0.00011112966,1.4276884e-06,0.0005778037,-9.313226e-10,20359840.0,1.0,0.00022756495,-9.313226e-10,-2.380833e-05,-0.0044055907,0.0037768912,1.9799918e-06,0.3220719,0.16931121,0,0,0,0,0,3,91,0,0,0,0,6,3633,-0.520712455
2014,richland,Human infections,2.0,1.0,0.0,north dakota,38077.0,46.26,-96.6,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.4964416462672897,-0.1338445002085541,278.2695357022219,1.8748715567262204,1.9423500492148205,0.0001064744075897,0.0001542889685306,4052998.157534245,6.236993286707628e-05,-0.0007440985229874,0.0011697160003528,0.4115754002985887,2.5671391,-1.2119654,1.4576378,-1.5801604,297.1691,254.9064,2.321659,1.6912944,2.6999469,1.6358546,0.000316703,4.0535815e-06,0.0009072842,-9.313226e-10,18169406.0,1.0,0.00066210236,-9.313226e-10,8.244766e-06,-0.004165699,0.0058297217,4.3570995e-05,0.4641841,0.35824284,5,0,0,15,0,15,65,0,0,0,0,0,"16,345",0.02575047
2005,coal,Non-human activity,,,,oklahoma,40029.0,34.53,-96.21,0.0,0.0,0.0,0.0,0.0,2005-01-01,-0.1632998197046043,0.5569992381415954,291.35385648126464,1.8993218787728912,2.965445289219894,3.398527841367566e-05,8.547619903740813e-06,5293204.644520546,8.249433507045643e-05,-0.0008425016387537,0.0010281140061273,0.2652362496273157,0.72710544,-0.9102236,2.256498,-0.2497161,305.6949,276.27405,2.7955387,1.0339272,3.0025604,2.9300327,8.982918e-05,6.5009226e-07,7.824693e-05,-9.313226e-10,20654486.0,1.0,0.00064684683,-9.313226e-10,-3.7437072e-05,-0.0043408535,0.0032297662,9.406358e-06,0.38761684,0.14673412,0,0,0,2,0,75,22,0,0,0,0,0,5743,-0.802902901
2016,ottawa,Non-human activity,,,,michigan,26139.0,43.05,-86.22,0.0,1.0,1.0,0.0,0.0,2016-01-01,0.8674986061176969,0.3059044642770877,283.4086134655229,3.823853531821832,2.358553783489707,8.610674962991418e-05,0.000304019273274,4888742.42281421,1.2292468136614136e-05,-0.0012987565190042,0.0016928649611791,0.2225342558014914,3.3378286,-1.2055346,1.3066759,-0.888953,298.65857,269.3363,4.3801136,3.425074,2.7226508,2.1021843,0.00019529912,7.775758e-06,0.001993374,-9.313226e-10,22343336.0,1.0,4.678406e-05,7.6182187e-07,-0.00016337703,-0.004436508,0.0044057127,0.00026390702,0.2669829,0.1251539,1,0,0,8,0,2,0,0,88,0,0,0,"283,712",1.089011888
