Year,Month,County,FIPS,Latitude,Longitude,Human_Disease_Count,Avian Phylodiversity,Population,Total_Bird_WNV_Count,Mos_WNV_Count,Horse_WNV_Count,ONI,Evergreen/Deciduous Needleleaf Trees,Evergreen Broadleaf Trees,Deciduous Broadleaf Trees,Mixed Trees,Shrub,Herbaceous,Culture/Managed,Wetland,Urban/Built,Snow/Ice,Barren,Water,Date,u10_1m_shift,v10_1m_shift,t2m_1m_shift,lai_hv_1m_shift,lai_lv_1m_shift,src_1m_shift,sf_1m_shift,sro_1m_shift,tp_1m_shift,Average_Daylight_Hours
2004,1,san bernardino,6071,34.14114,-117.294635,,3.605512019,2182740,,,,0.4,11,0,0,0,0,0,0,0,89,0,0,0,2004-01-01,0.5135967,0.28186762,287.0094,5.001078,0.52380455,,1.2609176e-05,4.296936e-05,0.0018577464,10.147419354838709
2004,1,kern,6029,35.353593,-119.036921,,3.23057175,909997,,,,0.4,0,0,0,0,4,0,12,0,84,0,0,0,2004-01-01,0.45057303,-0.67290425,286.8078,4.676403,0.52380455,,6.0140155e-05,1.2204051e-05,0.0018305145,10.055743727598566
2004,1,los angeles,6037,34.019394,-118.410825,,4.189797696,9989165,,,,0.4,0,0,0,0,0,0,0,0,100,0,0,0,2004-01-01,1.3617151,0.6743684,289.1092,0.73901963,0.55067587,,-9.313226e-10,1.7034821e-05,0.0011704993,10.15655017921147
2004,1,orange,6059,33.736332,-117.8829,,2.59173576,3184101,,,,0.4,0,0,0,0,0,0,0,0,100,0,0,0,2004-01-01,2.0758119,0.6778331,288.94458,4.9945345,0.50159836,,-9.313226e-10,4.575588e-06,0.0008996604,10.177482078853044
2004,1,riverside,6065,33.938143,-117.393168,,3.219405873,2422764,,,,0.4,14,0,0,8,0,0,0,0,78,0,0,0,2004-01-01,0.79630286,0.17817414,287.81348,4.8868012,0.51391435,,9.695068e-07,5.3140335e-05,0.0016532559,10.162535842293906
2004,1,butte,6007,39.495424,-121.560069,,2.10985252,210083,,,,0.4,4,0,0,31,30,0,0,0,35,0,0,0,2004-01-01,-0.39600194,1.081223,284.3485,2.2506049,2.0373695,,0.00021178555,0.0007828777,0.009703659,9.717652329749104
2004,1,fresno,6019,36.782684,-119.793359,,2.096062265,1008966,,,,0.4,0,2,0,1,15,0,0,0,82,0,0,0,2004-01-01,0.16555172,-0.26555473,285.9914,0.037877083,1.3234754,,-9.313226e-10,3.4070574e-05,0.004036342,9.943646953405015
2004,1,imperial,6025,32.786351,-115.560206,,1.482746249,179489,,,,0.4,0,0,0,0,14,0,0,0,86,0,0,0,2004-01-01,1.08544,-0.47269422,290.92343,3.0411413,1.4198265,,-9.313226e-10,-9.313226e-10,2.9707327e-05,10.246639784946236
2004,1,merced,6047,37.305712,-120.477905,,1.299662773,281726,,,,0.4,9,4,0,0,3,0,0,0,84,0,0,0,2004-01-01,-0.1493094,0.12125409,286.30835,1.5191422,2.2407084,,-9.313226e-10,3.991835e-05,0.0037843175,9.90152329749104
2004,1,shasta,6089,40.567432,-122.364827,,2.194519911,181893,,,,0.4,41,0,0,13,0,0,0,0,36,0,10,0,2004-01-01,0.12593687,0.29102433,282.15128,1.8681468,0.9211519,,0.0021046028,0.0008708532,0.013575617,9.62301075268817
2004,1,tulare,6107,36.32803,-119.328519,,2.450863245,473736,,,,0.4,0,0,0,10,0,0,4,0,87,0,0,0,2004-01-01,0.5917975,-0.58876157,286.07315,1.7417973,2.1108303,,5.4957345e-06,7.1955845e-05,0.004153194,9.97975806451613
2004,1,yolo,6113,38.67116,-121.750043,,1.828966666,216255,,,,0.4,8,0,0,0,20,16,15,0,40,0,0,0,2004-01-01,-0.4644277,0.6407113,285.10892,2.121583,1.515369,,-9.313226e-10,0.00023926143,0.0052934904,9.78836917562724
2004,1,lake,6033,39.038333,-122.922633,,1.194048377,68174,,,,0.4,19,0,0,29,8,0,5,0,33,0,0,5,2004-01-01,0.032301664,0.2880546,281.63837,1.5472505,2.1715395,,0.00016845856,0.000985526,0.009458568,9.757195340501791
2004,1,san diego,6073,32.814977,-117.135562,,3.673860844,3297252,,,,0.4,0,0,0,0,15,0,0,0,85,0,0,0,2004-01-01,2.1563277,-0.36330873,288.50894,4.9902034,1.9030751,,-9.313226e-10,2.7958304e-06,0.00069219805,10.244632616487456
