tuning_year,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,max_leaf_nodes,min_impurity_decrease
2005,685,6,10,8,sqrt,0.5626580530735925,65,0.00014354034605821697
2006.0,536.0,1.0,5.0,8.0,0.8,0.7825254966419518,35.0,0.09286426276648205
2007.0,789.0,18.0,10.0,10.0,0.9,0.3498119816646442,41.0,0.04822784777652865
2008,690,17,9,2,sqrt,0.2804147674551803,28,0.0443795401700896
2009.0,304.0,2.0,3.0,8.0,0.1,0.3708099123131673,64.0,0.06713404333181455
2010,208,1,4,10,sqrt,0.7544785802427132,41,0.03822859007448328
2011.0,398.0,14.0,7.0,8.0,0.2,0.5037682725606084,85.0,0.05394434892323939
2012.0,383.0,7.0,5.0,6.0,0.6,0.9999351742536235,76.0,0.023542081035963947
2013.0,242.0,5.0,3.0,9.0,1.0,0.9467369571633791,53.0,0.0431398156985898
2014.0,576.0,6.0,8.0,1.0,0.9,0.887336288106102,83.0,0.0062861554565888725
2015.0,522.0,13.0,7.0,3.0,1.0,0.7189421291421731,48.0,0.011451586074432958
2016.0,756.0,7.0,4.0,4.0,1.0,0.906030964600243,41.0,0.03494142521145741
2017.0,210.0,6.0,10.0,1.0,1.0,0.9761496607157691,96.0,0.04379079021637662
2018.0,744.0,3.0,2.0,1.0,0.1,0.814359732828577,69.0,0.0582791241549382
2019.0,277.0,16.0,10.0,10.0,0.2,0.10747326162786335,31.0,0.00642382979415449
2020.0,780.0,11.0,7.0,4.0,0.1,0.5172006035461267,56.0,0.0849021077115663
2021.0,878.0,1.0,6.0,6.0,0.1,0.13288804539193338,27.0,0.0647536891861715
2022.0,322.0,3.0,2.0,1.0,0.1,0.8734161061263884,21.0,0.09748301811062537
